,Name,State,Term,Party
345,"TRACY, Uriah",Connecticut,4th Congress (1795-1797),Federalist
346,"MALBONE, Francis",Rhode Island,4th Congress (1795-1797),Federalist
347,"GLEN, Henry",New York,4th Congress (1795-1797),Federalist
348,"FOSTER, Abiel",New Hampshire,4th Congress (1795-1797),Federalist
349,"GOODRICH, Chauncey",Connecticut,4th Congress (1795-1797),Federalist
350,"COOPER, William",New York,4th Congress (1795-1797),Federalist
351,"GILBERT, Ezekiel",New York,4th Congress (1795-1797),Federalist
352,"GRISWOLD, Roger",Connecticut,4th Congress (1795-1797),Federalist
353,"DANA, Samuel Whittlesey",Connecticut,4th Congress (1795-1797),Federalist
354,"GOODHUE, Benjamin",Massachusetts,4th Congress (1795-1797),Federalist
355,"HINDMAN, William",Maryland,4th Congress (1795-1797),Federalist
356,"DAVENPORT, James",Connecticut,4th Congress (1795-1797),Federalist
357,"SEDGWICK, Theodore",Massachusetts,4th Congress (1795-1797),Federalist
358,"THACHER, George",Massachusetts,4th Congress (1795-1797),Federalist
359,"LEONARD, George",Massachusetts,4th Congress (1795-1797),Federalist
360,"AMES, Fisher",Massachusetts,4th Congress (1795-1797),Federalist
361,"SITGREAVES, Samuel",Pennsylvania,4th Congress (1795-1797),Federalist
362,"DUVALL, Gabriel",Maryland,4th Congress (1795-1797),Democrat-Republican
363,"SUMTER, Thomas",South Carolina,5th Congress (1797-1799),Democrat-Republican
364,"McCLENACHAN, Blair",Pennsylvania,5th Congress (1797-1799),Democrat-Republican
365,"McDOWELL, Joseph",North Carolina,5th Congress (1797-1799),Democrat-Republican
366,"CABELL, Samuel Jordan",Virginia,5th Congress (1797-1799),Democrat-Republican
367,"LOCKE, Matthew",North Carolina,5th Congress (1797-1799),Democrat-Republican
368,"BENTON, Lemuel",South Carolina,5th Congress (1797-1799),Democrat-Republican
369,"BARD, David",Pennsylvania,5th Congress (1797-1799),Democrat-Republican
370,"MACON, Nathaniel",North Carolina,5th Congress (1797-1799),Democrat-Republican
371,"BLOUNT, Thomas",North Carolina,5th Congress (1797-1799),Democrat-Republican
372,"EGGLESTON, Joseph",Virginia,5th Congress (1797-1799),Democrat-Republican
373,"CLAY, Matthew",Virginia,5th Congress (1797-1799),Democrat-Republican
374,"CLOPTON, John",Virginia,5th Congress (1797-1799),Democrat-Republican
375,"BROWN, Robert",Pennsylvania,5th Congress (1797-1799),Democrat-Republican
376,"VENABLE, Abraham Bedford",Virginia,5th Congress (1797-1799),Democrat-Republican
377,"NEW, Anthony",Virginia,5th Congress (1797-1799),Democrat-Republican
378,"BRENT, Richard",Virginia,5th Congress (1797-1799),Democrat-Republican
379,"ELMENDORF, Lucas Conrad",New York,5th Congress (1797-1799),Democrat-Republican
380,"TRIGG, Abram",Virginia,5th Congress (1797-1799),Democrat-Republican
381,"BALDWIN, Abraham",Georgia,5th Congress (1797-1799),Democrat-Republican
382,"BRYAN, Nathan",North Carolina,5th Congress (1797-1799),Democrat-Republican
383,"STANFORD, Richard",North Carolina,5th Congress (1797-1799),Democrat-Republican
384,"HAVENS, Jonathan Nicoll",New York,5th Congress (1797-1799),Democrat-Republican
385,"HOLMES, David",Virginia,5th Congress (1797-1799),Democrat-Republican
386,"DAWSON, John",Virginia,5th Congress (1797-1799),Democrat-Republican
387,"GALLATIN, Albert",Pennsylvania,5th Congress (1797-1799),Democrat-Republican
388,"CLAIBORNE, Thomas",Virginia,5th Congress (1797-1799),Democrat-Republican
389,"JONES, Walter",Virginia,5th Congress (1797-1799),Democrat-Republican
390,"GILLESPIE, James",North Carolina,5th Congress (1797-1799),Democrat-Republican
391,"TRIGG, John Johns",Virginia,5th Congress (1797-1799),Democrat-Republican
392,"NICHOLAS, John",Virginia,5th Congress (1797-1799),Democrat-Republican
393,"VARNUM, Joseph Bradley",Massachusetts,5th Congress (1797-1799),Democrat-Republican
394,"BURGES, Dempsey",North Carolina,5th Congress (1797-1799),Democrat-Republican
395,"HARRISON, Carter Bassett",Virginia,5th Congress (1797-1799),Democrat-Republican
396,"SKINNER, Thomson Joseph",Massachusetts,5th Congress (1797-1799),Democrat-Republican
397,"FOWLER, John",Kentucky,5th Congress (1797-1799),Democrat-Republican
398,"HIESTER, Joseph",Pennsylvania,5th Congress (1797-1799),Democrat-Republican
399,"FINDLEY, William",Pennsylvania,5th Congress (1797-1799),Democrat-Republican
400,"GREGG, Andrew",Pennsylvania,5th Congress (1797-1799),Democrat-Republican
401,"WILLIAMS, Robert",North Carolina,5th Congress (1797-1799),Democrat-Republican
402,"SPRIGG, Richard, Jr.",Maryland,5th Congress (1797-1799),Democrat-Republican
403,"MILLEDGE, John",Georgia,5th Congress (1797-1799),Democrat-Republican
404,"LIVINGSTON, Edward",New York,5th Congress (1797-1799),Democrat-Republican
405,"CLAIBORNE, William Charles Cole",Tennessee,5th Congress (1797-1799),Democrat-Republican
406,"HANNA, John Andre",Pennsylvania,5th Congress (1797-1799),Democrat-Republican
407,"GILES, William Branch",Virginia,5th Congress (1797-1799),Democrat-Republican
408,"SMITH, William",South Carolina,5th Congress (1797-1799),Democrat-Republican
409,"SWANWICK, John",Pennsylvania,5th Congress (1797-1799),Democrat-Republican
410,"SMITH, Samuel",Maryland,5th Congress (1797-1799),Democrat-Republican
411,"VAN CORTLANDT, Philip",New York,5th Congress (1797-1799),Democrat-Republican
412,"DAVIS, Thomas Terry",Kentucky,5th Congress (1797-1799),Democrat-Republican
413,"LYON, Matthew",Vermont,5th Congress (1797-1799),Democrat-Republican
414,"PARKER, Josiah",Virginia,5th Congress (1797-1799),Federalist
415,"SPAIGHT, Richard Dobbs",North Carolina,5th Congress (1797-1799),Democrat-Republican
416,"FREEMAN, Nathaniel, Jr.",Massachusetts,5th Congress (1797-1799),Democrat-Republican
417,"DENT, George",Maryland,5th Congress (1797-1799),Federalist
418,"GROVE, William Barry",North Carolina,5th Congress (1797-1799),Federalist
419,"TILLINGHAST, Thomas",Rhode Island,5th Congress (1797-1799),Federalist
420,"BULLOCK, Stephen",Massachusetts,5th Congress (1797-1799),Federalist
421,"CHAPMAN, John",Pennsylvania,5th Congress (1797-1799),Federalist
422,"SPRAGUE, Peleg",New Hampshire,5th Congress (1797-1799),Federalist
423,"MATTHEWS, William",Maryland,5th Congress (1797-1799),Federalist
424,"MACHIR, James",Virginia,5th Congress (1797-1799),Federalist
425,"SMITH, Jeremiah",New Hampshire,5th Congress (1797-1799),Federalist
426,"HARTLEY, Thomas",Pennsylvania,5th Congress (1797-1799),Federalist
427,"WILLIAMS, John",New York,5th Congress (1797-1799),Federalist
428,"EGE, George",Pennsylvania,5th Congress (1797-1799),Federalist
429,"HARPER, Robert Goodloe",South Carolina,5th Congress (1797-1799),Federalist
430,"SMITH, William Loughton",South Carolina,5th Congress (1797-1799),Federalist
431,"DAYTON, Jonathan",New Jersey,5th Congress (1797-1799),Federalist
432,"COIT, Joshua",Connecticut,5th Congress (1797-1799),Federalist
433,"BAER, George, Jr.",Maryland,5th Congress (1797-1799),Federalist
434,"REED, John",Massachusetts,5th Congress (1797-1799),Federalist
435,"EVANS, Thomas",Virginia,5th Congress (1797-1799),Federalist
436,"POTTER, Elisha Reynolds",Rhode Island,5th Congress (1797-1799),Federalist
437,"MORGAN, Daniel",Virginia,5th Congress (1797-1799),Federalist
438,"BARTLETT, Bailey",Massachusetts,5th Congress (1797-1799),Federalist
439,"DENNIS, John",Maryland,5th Congress (1797-1799),Federalist
440,"THOMSON, Mark",New Jersey,5th Congress (1797-1799),Federalist
441,"THOMAS, Richard",Pennsylvania,5th Congress (1797-1799),Federalist
442,"KITTERA, John Wilkes",Pennsylvania,5th Congress (1797-1799),Federalist
443,"SINNICKSON, Thomas",New Jersey,5th Congress (1797-1799),Federalist
444,"FREEMAN, Jonathan",New Hampshire,5th Congress (1797-1799),Federalist
445,"BRACE, Jonathan",Connecticut,5th Congress (1797-1799),Federalist
446,"PINCKNEY, Thomas",South Carolina,5th Congress (1797-1799),Federalist
447,"BAYARD, James Asheton, Sr.",Delaware,5th Congress (1797-1799),Federalist
448,"SCHUREMAN, James",New Jersey,5th Congress (1797-1799),Federalist
449,"LYMAN, Samuel",Massachusetts,5th Congress (1797-1799),Federalist
450,"SHEPARD, William",Massachusetts,5th Congress (1797-1799),Federalist
451,"CRAIK, William",Maryland,5th Congress (1797-1799),Federalist
452,"CHAMPLIN, Christopher Grant",Rhode Island,5th Congress (1797-1799),Federalist
453,"ALLEN, John",Connecticut,5th Congress (1797-1799),Federalist
454,"WADSWORTH, Peleg",Massachusetts,5th Congress (1797-1799),Federalist
455,"OTIS, Harrison Gray",Massachusetts,5th Congress (1797-1799),Federalist
456,"SMITH, Nathaniel",Connecticut,5th Congress (1797-1799),Federalist
457,"HOSMER, Hezekiah Lord",New York,5th Congress (1797-1799),Federalist
458,"MORRIS, Lewis Richard",Vermont,5th Congress (1797-1799),Federalist
459,"VAN ALEN, John Evert",New York,5th Congress (1797-1799),Federalist
460,"RUTLEDGE, John, Jr.",South Carolina,5th Congress (1797-1799),Federalist
461,"SEWALL, Samuel",Massachusetts,5th Congress (1797-1799),Federalist
462,"FOSTER, Dwight",Massachusetts,5th Congress (1797-1799),Federalist
463,"BRADBURY, Theophilus",Massachusetts,5th Congress (1797-1799),Federalist
464,"WALN, Robert",Pennsylvania,5th Congress (1797-1799),Federalist
465,"PARKER, Isaac",Massachusetts,5th Congress (1797-1799),Federalist
466,"BROOKS, David",New York,5th Congress (1797-1799),Federalist
467,"COCHRAN, James",New York,5th Congress (1797-1799),Federalist
468,"GORDON, William",New Hampshire,5th Congress (1797-1799),Federalist
469,"IMLAY, James Henderson",New Jersey,5th Congress (1797-1799),Federalist
470,"GLEN, Henry",New York,5th Congress (1797-1799),Federalist
471,"FOSTER, Abiel",New Hampshire,5th Congress (1797-1799),Federalist
472,"EDMOND, William",Connecticut,5th Congress (1797-1799),Federalist
473,"GOODRICH, Chauncey",Connecticut,5th Congress (1797-1799),Federalist
474,"GRISWOLD, Roger",Connecticut,5th Congress (1797-1799),Federalist
475,"DANA, Samuel Whittlesey",Connecticut,5th Congress (1797-1799),Federalist
476,"HINDMAN, William",Maryland,5th Congress (1797-1799),Federalist
477,"DAVENPORT, James",Connecticut,5th Congress (1797-1799),Federalist
478,"THACHER, George",Massachusetts,5th Congress (1797-1799),Federalist
479,"SITGREAVES, Samuel",Pennsylvania,5th Congress (1797-1799),Federalist
480,"SUMTER, Thomas",South Carolina,6th Congress (1799-1801),Democrat-Republican
481,"JACKSON, George",Virginia,6th Congress (1799-1801),Democrat-Republican
482,"CABELL, Samuel Jordan",Virginia,6th Congress (1799-1801),Democrat-Republican
483,"MACON, Nathaniel",North Carolina,6th Congress (1799-1801),Democrat-Republican
484,"EGGLESTON, Joseph",Virginia,6th Congress (1799-1801),Democrat-Republican
485,"CLAY, Matthew",Virginia,6th Congress (1799-1801),Democrat-Republican
486,"BROWN, Robert",Pennsylvania,6th Congress (1799-1801),Democrat-Republican
487,"CONDIT, John",New Jersey,6th Congress (1799-1801),Democrat-Republican
488,"STONE, David",North Carolina,6th Congress (1799-1801),Democrat-Republican
489,"NEW, Anthony",Virginia,6th Congress (1799-1801),Democrat-Republican
490,"ELMENDORF, Lucas Conrad",New York,6th Congress (1799-1801),Democrat-Republican
491,"TRIGG, Abram",Virginia,6th Congress (1799-1801),Democrat-Republican
492,"STEWART, John",Pennsylvania,6th Congress (1799-1801),Democrat-Republican
493,"STANFORD, Richard",North Carolina,6th Congress (1799-1801),Democrat-Republican
494,"SMILIE, John",Pennsylvania,6th Congress (1799-1801),Democrat-Republican
495,"HOLMES, David",Virginia,6th Congress (1799-1801),Democrat-Republican
496,"HAVENS, Jonathan Nicoll",New York,6th Congress (1799-1801),Democrat-Republican
497,"BAILEY, Theodorus",New York,6th Congress (1799-1801),Democrat-Republican
498,"ALSTON, Willis",North Carolina,6th Congress (1799-1801),Democrat-Republican
499,"DAWSON, John",Virginia,6th Congress (1799-1801),Democrat-Republican
500,"GALLATIN, Albert",Pennsylvania,6th Congress (1799-1801),Democrat-Republican
501,"RANDOLPH, John",Virginia,6th Congress (1799-1801),Democrat-Republican
502,"TRIGG, John Johns",Virginia,6th Congress (1799-1801),Democrat-Republican
503,"NICHOLAS, John",Virginia,6th Congress (1799-1801),Democrat-Republican
504,"VARNUM, Joseph Bradley",Massachusetts,6th Congress (1799-1801),Democrat-Republican
505,"JONES, James",Georgia,6th Congress (1799-1801),Federalist
506,"LEIB, Michael",Pennsylvania,6th Congress (1799-1801),Democrat-Republican
507,"NICHOLSON, Joseph Hopper",Maryland,6th Congress (1799-1801),Democrat-Republican
508,"TAZEWELL, Littleton Waller",Virginia,6th Congress (1799-1801),Democrat-Republican
509,"GRAY, Edwin",Virginia,6th Congress (1799-1801),Democrat-Republican
510,"SMITH, John",New York,6th Congress (1799-1801),Democrat-Republican
511,"TALIAFERRO, Benjamin",Georgia,6th Congress (1799-1801),Federalist
512,"FOWLER, John",Kentucky,6th Congress (1799-1801),Democrat-Republican
513,"HIESTER, Joseph",Pennsylvania,6th Congress (1799-1801),Democrat-Republican
514,"CHRISTIE, Gabriel",Maryland,6th Congress (1799-1801),Democrat-Republican
515,"BISHOP, Phanuel",Massachusetts,6th Congress (1799-1801),Democrat-Republican
516,"GREGG, Andrew",Pennsylvania,6th Congress (1799-1801),Democrat-Republican
517,"WILLIAMS, Robert",North Carolina,6th Congress (1799-1801),Democrat-Republican
518,"LIVINGSTON, Edward",New York,6th Congress (1799-1801),Democrat-Republican
519,"CLAIBORNE, William Charles Cole",Tennessee,6th Congress (1799-1801),Democrat-Republican
520,"HANNA, John Andre",Pennsylvania,6th Congress (1799-1801),Democrat-Republican
521,"LINN, James",New Jersey,6th Congress (1799-1801),Democrat-Republican
522,"SMITH, Samuel",Maryland,6th Congress (1799-1801),Democrat-Republican
523,"VAN CORTLANDT, Philip",New York,6th Congress (1799-1801),Democrat-Republican
524,"KITCHELL, Aaron",New Jersey,6th Congress (1799-1801),Democrat-Republican
525,"THOMPSON, John",New York,6th Congress (1799-1801),Democrat-Republican
526,"DAVIS, Thomas Terry",Kentucky,6th Congress (1799-1801),Democrat-Republican
527,"MUHLENBERG, John Peter Gabriel",Pennsylvania,6th Congress (1799-1801),Democrat-Republican
528,"LYON, Matthew",Vermont,6th Congress (1799-1801),Democrat-Republican
529,"PARKER, Josiah",Virginia,6th Congress (1799-1801),Federalist
530,"SPAIGHT, Richard Dobbs",North Carolina,6th Congress (1799-1801),Democrat-Republican
531,"GOODE, Samuel",Virginia,6th Congress (1799-1801),Democrat-Republican
532,"DENT, George",Maryland,6th Congress (1799-1801),Federalist
533,"GROVE, William Barry",North Carolina,6th Congress (1799-1801),Federalist
534,"NOTT, Abraham",South Carolina,6th Congress (1799-1801),Federalist
535,"HUGER, Benjamin",South Carolina,6th Congress (1799-1801),Federalist
536,"HARTLEY, Thomas",Pennsylvania,6th Congress (1799-1801),Federalist
537,"HENDERSON, Archibald",North Carolina,6th Congress (1799-1801),Federalist
538,"HARPER, Robert Goodloe",South Carolina,6th Congress (1799-1801),Federalist
539,"MARSHALL, John",Virginia,6th Congress (1799-1801),Federalist
540,"MATTOON, Ebenezer",Massachusetts,6th Congress (1799-1801),Federalist
541,"PAGE, Robert",Virginia,6th Congress (1799-1801),Federalist
542,"BAER, George, Jr.",Maryland,6th Congress (1799-1801),Federalist
543,"HILL, William Henry",North Carolina,6th Congress (1799-1801),Federalist
544,"DICKSON, Joseph",North Carolina,6th Congress (1799-1801),Federalist
545,"REED, John",Massachusetts,6th Congress (1799-1801),Federalist
546,"EVANS, Thomas",Virginia,6th Congress (1799-1801),Federalist
547,"THOMAS, John Chew",Maryland,6th Congress (1799-1801),Federalist
548,"BARTLETT, Bailey",Massachusetts,6th Congress (1799-1801),Federalist
549,"DENNIS, John",Maryland,6th Congress (1799-1801),Federalist
550,"READ, Nathan",Massachusetts,6th Congress (1799-1801),Federalist
551,"BIRD, John",New York,6th Congress (1799-1801),Federalist
552,"TENNEY, Samuel",New Hampshire,6th Congress (1799-1801),Federalist
553,"THOMAS, Richard",Pennsylvania,6th Congress (1799-1801),Federalist
554,"KITTERA, John Wilkes",Pennsylvania,6th Congress (1799-1801),Federalist
555,"POWELL, Leven",Virginia,6th Congress (1799-1801),Federalist
556,"FREEMAN, Jonathan",New Hampshire,6th Congress (1799-1801),Federalist
557,"BRACE, Jonathan",Connecticut,6th Congress (1799-1801),Federalist
558,"PINCKNEY, Thomas",South Carolina,6th Congress (1799-1801),Federalist
559,"LEE, Henry",Virginia,6th Congress (1799-1801),Federalist
560,"BAYARD, James Asheton, Sr.",Delaware,6th Congress (1799-1801),Federalist
561,"LYMAN, Samuel",Massachusetts,6th Congress (1799-1801),Federalist
562,"SHEPARD, William",Massachusetts,6th Congress (1799-1801),Federalist
563,"CRAIK, William",Maryland,6th Congress (1799-1801),Federalist
564,"WOODS, Henry",Pennsylvania,6th Congress (1799-1801),Federalist
565,"CHAMPLIN, Christopher Grant",Rhode Island,6th Congress (1799-1801),Federalist
566,"GOODRICH, Elizur",Connecticut,6th Congress (1799-1801),Federalist
567,"WADSWORTH, Peleg",Massachusetts,6th Congress (1799-1801),Federalist
568,"OTIS, Harrison Gray",Massachusetts,6th Congress (1799-1801),Federalist
569,"LEE, Silas",Massachusetts,6th Congress (1799-1801),Federalist
570,"MORRIS, Lewis Richard",Vermont,6th Congress (1799-1801),Federalist
571,"RUTLEDGE, John, Jr.",South Carolina,6th Congress (1799-1801),Federalist
572,"SMITH, John Cotton",Connecticut,6th Congress (1799-1801),Federalist
573,"SEWALL, Samuel",Massachusetts,6th Congress (1799-1801),Federalist
574,"FOSTER, Dwight",Massachusetts,6th Congress (1799-1801),Federalist
575,"WALN, Robert",Pennsylvania,6th Congress (1799-1801),Federalist
576,"WILLIAMS, Lemuel",Massachusetts,6th Congress (1799-1801),Federalist
577,"DAVENPORT, John",Connecticut,6th Congress (1799-1801),Federalist
578,"BROWN, John",Rhode Island,6th Congress (1799-1801),Federalist
579,"GORDON, William",New Hampshire,6th Congress (1799-1801),Federalist
580,"IMLAY, James Henderson",New Jersey,6th Congress (1799-1801),Federalist
581,"GLEN, Henry",New York,6th Congress (1799-1801),Federalist
582,"FOSTER, Abiel",New Hampshire,6th Congress (1799-1801),Federalist
583,"EDMOND, William",Connecticut,6th Congress (1799-1801),Federalist
584,"GOODRICH, Chauncey",Connecticut,6th Congress (1799-1801),Federalist
585,"COOPER, William",New York,6th Congress (1799-1801),Federalist
586,"GRISWOLD, Roger",Connecticut,6th Congress (1799-1801),Federalist
